ThermalExpansionCoefficient_composition_average,ThermalConductivity_difference,NUnfilled_composition_average,CovalentRadius_arithmetic_average,phi_arithmetic_average,NsValence_difference,SecondIonizationEnergy_composition_average,NfUnfilled_composition_average,BCCvolume_padiff_arithmetic_average,SpaceGroupNumber_arithmetic_average,NdUnfilled_composition_average,IonicRadii_arithmetic_average,IonicRadii_composition_average,BoilingT_composition_average,BCCenergy_pa_composition_average,HeatCapacityMolar_composition_average,NsValence_min_value,BCCvolume_padiff_composition_average,ThirdIonizationEnergy_composition_average,BCCfermi_composition_average,HeatCapacityMolar_arithmetic_average,phi_composition_average,IonizationEnergy_composition_average,Polarizability_composition_average,Density_arithmetic_average,ThermalExpansionCoefficient_arithmetic_average,HeatVaporization_composition_average,HHIr_composition_average,HeatFusion_difference,IsHexagonal_composition_average,ICSDVolume_arithmetic_average,ShearModulus_composition_average,SpecificHeatCapacity_composition_average,HeatCapacityMass_composition_average,n_ws^third_composition_average,Density_composition_average,BCCmagmom_composition_average,FirstIonizationEnergy_composition_average,MendeleevNumber_composition_average,MendeleevNumber_arithmetic_average,AtomicVolume_arithmetic_average,valence_composition_average,ThermalConductivity_composition_average,Polarizability_arithmetic_average,BCCvolume_padiff_max_value,ElectronAffinity_arithmetic_average,ElectricalConductivity_composition_average,GSenergy_pa_composition_average,NdValence_composition_average,ElasticModulus_composition_average,AtomicRadii_arithmetic_average,IsBoron_composition_average,CovalentRadius_composition_average,HeatFusion_composition_average,ElectronAffinity_composition_average,NpValence_difference,Electronegativity_composition_average,MendeleevNumber_min_value,GSestBCClatcnt_arithmetic_average,Electronegativity_arithmetic_average,HHIp_composition_average,Electronegativity_difference,SecondIonizationEnergy_difference,IsPnictide_composition_average,target
12.71,407.1,3.8,153.0,4.0125,1.0,17.592000000000002,0.0,-0.10375,209.5,3.2,0.8324999999999999,0.7929999999999999,3604.1,-5.399750829,24.869,1.0,-0.1265,31.5441,4.16067612,25.0525,4.075,709.5999999999999,10.604,7607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
12.852,406.3,3.52,150.66666666666669,4.083333333333334,1.0,17.833479999999998,0.0,-0.1883333333333333,214.66666666666669,2.88,0.9066666666666664,0.8116,3657.02,-5.2873760014,24.8622,1.0,-0.1678,31.6476,4.291893652,25.05,4.08,713.216,10.464,8640.333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
11.388,406.3,4.5,150.66666666666669,4.083333333333334,1.0,16.85476,0.0,-0.1883333333333333,214.66666666666669,4.0,0.9066666666666664,0.8353999999999999,3849.2,-5.944332101800001,25.0092,1.0,-0.2343,29.67,4.2642775870000005,25.05,3.938,700.972,12.1258,8640.333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
11.826,406.3,4.48,143.25,4.1125,1.0,16.96606,0.0,-0.03125,217.25,3.84,0.815,0.8317,3799.67,-5.8388342644,24.9927,1.0,-0.2136999999999999,29.67531,4.365591580599999,24.8375,3.9495,697.502,11.918699999999998,7155.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
12.829999999999998,407.1,3.8,153.0,4.0125,1.0,17.6519,0.0,-0.10375,209.5,3.2,0.8324999999999999,0.8140000000000001,3565.85,-5.3536054235,24.9145,1.0,-0.1335,31.444099999999995,4.144377125,25.0525,4.069999999999999,708.8800000000001,10.646,7607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
12.348,406.3,3.94,150.66666666666669,4.083333333333334,1.0,17.475640000000002,0.0,-0.1883333333333333,214.66666666666669,3.36,0.9066666666666664,0.8433999999999999,3700.04,-5.5214647702,24.972,1.0,-0.2035,30.6972,4.263293515,25.05,4.014,707.228,11.2194,8640.333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
10.466,415.5,6.52,151.25,4.0425,1.0,14.38654,0.0,0.223125,217.25,5.58,0.895,0.9784,3460.52,-4.3402969856,26.08,1.0,0.41615,24.66966,6.9518188518,25.275,3.6194,593.094,21.7268,7064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
12.192,406.3,4.32,143.25,4.1125,1.0,17.07684,0.0,-0.03125,217.25,3.52,0.815,0.7754,3812.3,-5.747597648400001,24.8486,1.0,-0.1672,30.19742,4.5090369432,24.8375,3.993,697.468,11.3758,7155.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
11.826,406.3,4.64,143.25,4.1125,1.0,16.77572,0.0,-0.03125,217.25,3.84,0.815,0.7779,3867.5,-5.9406461505,24.883000000000003,1.0,-0.1810999999999999,29.55999,4.5368627184,24.8375,3.9505,692.374,11.8523,7155.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
11.148,406.3,4.5,150.66666666666669,4.083333333333334,1.0,16.73496,0.0,-0.1883333333333333,214.66666666666669,4.0,0.9066666666666664,0.7934,3925.7,-6.0366229128,24.9182,1.0,-0.2203,29.87,4.296875577,25.05,3.948,702.412,12.0418,8640.333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
